Label,Text,length,#digit/(#ascii+#digit+#punctuation),#max_digit_skip_0_2,first_character_type,"#""space"""
0,"nguyen thanh tung
",18,0.0,0,1,2
0,"nguyen thi huyen
",17,0.0,0,1,2
0,"nguyen bao mi
",14,0.0,0,1,2
0,"pham cong dieu
",15,0.0,0,1,2
0,"phanhong chuong
",16,0.0,0,1,1
0,"nguyen phuong dung
",19,0.0,0,1,2
0,"hieu le
",8,0.0,0,1,1
0,"nguyen thi thao
",16,0.0,0,1,2
0,"nguyen minh diep
",17,0.0,0,1,2
0,"le vĩnh truong
",16,0.0,0,1,2
0,"cater2yourflavor llc
",21,0.05263157894736842,1,1,1
0,"quoc tuan nguyen
",17,0.0,0,1,2
0,"nguyen thanh ngoc
",18,0.0,0,1,2
0,"truong n. q. tran
",18,0.0,0,1,3
0,"quan vinh
",10,0.0,0,1,1
0,"mary teresa lan pham aka vu thuy lan
",37,0.0,0,1,7
0,"pham van loc
",13,0.0,0,1,2
0,"nguyen thi tu anh
",18,0.0,0,1,3
0,"nguyen viet anh
",16,0.0,0,1,2
0,"nguyen khoa van
",16,0.0,0,1,2
0,"nguyen duc pho
",15,0.0,0,1,2
0,"nguyen thi kim lan
",19,0.0,0,1,3
0,"nguyen thi kim anh
",19,0.0,0,1,3
0,"tran thanh nhat
",16,0.0,0,1,2
0,"tim pham
",9,0.0,0,1,1
0,"trinh co
",9,0.0,0,1,1
0,"hoang van diep
",15,0.0,0,1,2
0,"dao van bien
",13,0.0,0,1,2
0,"nguyen uyen dy tu
",18,0.0,0,1,3
0,"nguyen thi kim anh
",19,0.0,0,1,3
0,"vu dao nguyen
",14,0.0,0,1,2
0,"bao nguyen
",11,0.0,0,1,1
0,"le hoang duy
",13,0.0,0,1,2
0,"nguyen khac huy
",16,0.0,0,1,2
0,"nguyen van tuyen
",17,0.0,0,1,2
0,"nguyen tien dung
",17,0.0,0,1,2
0,"andy vo
",8,0.0,0,1,1
0,"bui thu trang
",14,0.0,0,1,2
0,"nguyen trung thanh
",19,0.0,0,1,2
0,"dao ba luy
",11,0.0,0,1,2
0,"doan hoa
",9,0.0,0,1,1
0,"thanh tien nguyen
",18,0.0,0,1,2
0,"dang ngoc thien tu
",19,0.0,0,1,3
0,"nguyen tuan anh
",16,0.0,0,1,2
0,"nguyen thi lan huong
",21,0.0,0,1,3
0,"vo trung tin
",13,0.0,0,1,2
0,"ngo tung chau
",14,0.0,0,1,2
0,"nguyen the thinh
",17,0.0,0,1,2
0,"nguyen ngoc bao
",16,0.0,0,1,2
0,"tran duc hanh
",14,0.0,0,1,2
0,"trung ho
",9,0.0,0,1,1
0,"nguyen huu hoang
",17,0.0,0,1,2
0,"chanh ta minh
",14,0.0,0,1,2
0,"nguyen hong chuong
",19,0.0,0,1,2
0,"le dang hieu
",13,0.0,0,1,2
0,"dinh van hai
",13,0.0,0,1,2
0,"nguyen van hien
",16,0.0,0,1,2
0,"ta duong
",9,0.0,0,1,1
0,"tran hoang minh
",16,0.0,0,1,2
0,"dang minh dung
",15,0.0,0,1,2
0,"ngo truong anh vu
",18,0.0,0,1,3
0,"abauzit
",8,0.0,0,1,0
0,"pham huy trung
",15,0.0,0,1,2
0,"vu ngoc ruan
",13,0.0,0,1,2
0,"trinh ngoc khiet
",17,0.0,0,1,2
0,"pham hoang cuong
",17,0.0,0,1,2
0,"bui hoai. mai
",14,0.0,0,1,2
0,"nguyen  dang my
",16,0.0,0,1,2
0,"le thi phuong
",14,0.0,0,1,2
0,"tran duy anh
",13,0.0,0,1,2
0,"duong tan trung
",16,0.0,0,1,2
0,"le thanh truong
",16,0.0,0,1,2
0,"ta manh hung
",13,0.0,0,1,2
0,"an chi (vo thien hoa)
",22,0.0,0,1,4
0,"truong quang ngoc
",18,0.0,0,1,2
0,"song bien
",10,0.0,0,1,1
0,"pham tuong van
",15,0.0,0,1,2
0,"nguyen ly duy hao
",18,0.0,0,1,3
0,"kinh mach
",10,0.0,0,1,1
0,"nguyen huy nhien
",17,0.0,0,1,2
0,"tran anh duy
",13,0.0,0,1,2
0,"ngo nhat dang
",14,0.0,0,1,2
0,"phan truong khoa
",17,0.0,0,1,2
0,"nguyen thanh ha
",16,0.0,0,1,2
0,"hung son nguyen
",16,0.0,0,1,2
0,"van hung cuong
",15,0.0,0,1,2
0,"hoang cuong
",12,0.0,0,1,1
0,"dang lam toi
",13,0.0,0,1,2
0,"linh mcculloch
",15,0.0,0,1,1
0,"le thi minh hong
",17,0.0,0,1,3
0,"dang quoc toan
",15,0.0,0,1,2
0,"nguyen quang
",13,0.0,0,1,1
0,"chau quoc liem
",15,0.0,0,1,2
0,"charlie.l.dang
",15,0.0,0,1,0
0,"bui ngoc vinh
",14,0.0,0,1,2
