Label,Text,length,#digit/(#ascii+#digit+#punctuation),%kwName,%kwAddress,%kwPhone,first_character_type_0,first_character_type_1,first_character_type_2,first_character_type_3,"#""space"""
2,"08 3848 9771
",13,1.0,0,0.0,0.0,0,0,1,0,2
2,"043566 7999 (4 lines)
",22,0.6111111111111112,0,0.0,0.25,0,0,1,0,3
2,"(84-4) 3868 8895
",17,0.7857142857142857,0,0.0,0.0,0,0,0,1,2
2,"04.6.281.4083
",14,0.7692307692307693,0,0.0,0.0,0,0,1,0,0
2,"04.7305 lo88
",13,0.7272727272727273,0,0.012345679012345678,0.0,0,0,1,0,1
2,"0312.88.33.86
",14,0.7692307692307693,0,0.0,0.0,0,0,1,0,0
2,"(04) 37414112
",14,0.8333333333333334,0,0.0,0.0,0,0,0,1,1
2,"(04) 6652 2080
",15,0.8333333333333334,0,0.0,0.0,0,0,0,1,2
2,"(84-4) 66865678
",16,0.7857142857142857,0,0.0,0.0,0,0,0,1,1
2,"0938210401
",11,1.0,0,0.0,0.0,0,0,1,0,0
2,"0466 5257 52
",13,1.0,0,0.0,0.0,0,0,1,0,2
2,"04.38294693
",12,0.9090909090909091,0,0.0,0.0,0,0,1,0,0
2,"04.3833.3158
",13,0.8333333333333334,0,0.0,0.0,0,0,1,0,0
2,"(84-4)36876301
",15,0.7857142857142857,0,0.0,0.0,0,0,0,1,0
2,"0916 133488
",12,1.0,0,0.0,0.0,0,0,1,0,1
2,"043628 5428
",12,1.0,0,0.0,0.0,0,0,1,0,1
2,"04.3356 0482
",13,0.9090909090909091,0,0.0,0.0,0,0,1,0,1
2,"0938 749 378
",13,1.0,0,0.0,0.0,0,0,1,0,2
2,"(+844)3854 4673
",16,0.7857142857142857,0,0.0,0.0,0,0,0,1,1
2,"(+84 4) 38s4 0212
",18,0.7142857142857143,0,0.0,0.0,0,0,0,1,3
2,"(04) 371g0 788
",15,0.75,0,0.0,0.0,0,0,0,1,2
2,"04.6287.1653
",13,0.8333333333333334,0,0.0,0.0,0,0,1,0,0
2,"(+84-4) 6682 2681
",18,0.7333333333333333,0,0.0,0.0,0,0,0,1,2
2,"(+84) 907 91 7279
",18,0.7857142857142857,0,0.0,0.0,0,0,0,1,3
2,"84-66-2681
",11,0.8,0,0.0,0.0,0,0,1,0,0
2,"4) 30330450 _
",14,0.8181818181818182,0,0.0,0.0,0,0,1,0,2
2,"(+844)39289999
",15,0.7857142857142857,0,0.0,0.0,0,0,0,1,0
2,"0904.04.04.86
",14,0.7692307692307693,0,0.0,0.0,0,0,1,0,0
2,"04.6260.2180
",13,0.8333333333333334,0,0.0,0.0,0,0,1,0,0
2,"0313.610.379
",13,0.8333333333333334,0,0.0,0.0,0,0,1,0,0
2,"04. 246 29 26
",14,0.9,0,0.0,0.0,0,0,1,0,3
2,"04. 533 79 06
",14,0.9,0,0.0,0.0,0,0,1,0,3
2,"04, 766 9785
",13,0.9,0,0.0,0.0,0,0,1,0,2
2,"84.4.62811282
",14,0.8461538461538461,0,0.0,0.0,0,0,1,0,0
2,"(84-4) 37877137
",16,0.7857142857142857,0,0.0,0.0,0,0,0,1,1
2,"04.3564,2639
",13,0.8333333333333334,0,0.0,0.0,0,0,1,0,0
2,"04.3564.2638
",13,0.8333333333333334,0,0.0,0.0,0,0,1,0,0
2,"0916.232.592
",13,0.8333333333333334,0,0.0,0.0,0,0,1,0,0
2,"+84. 8.628.08070
",17,0.7333333333333333,0,0.0,0.0,0,0,0,1,1
2,"62807283
",9,1.0,0,0.0,0.0,0,0,1,0,0
2,"+84. 4.3773 3703
",17,0.7857142857142857,0,0.0,0.0,0,0,0,1,2
2,"3773 3704
",10,1.0,0,0.0,0.0,0,0,1,0,1
2,"04. 3641 7159
",14,0.9090909090909091,0,0.0,0.0,0,0,1,0,2
2,"0436285101
",11,1.0,0,0.0,0.0,0,0,1,0,0
2,"0918.667.886
",13,0.8333333333333334,0,0.0,0.0,0,0,1,0,0
2,"0866766454
",11,1.0,0,0.0,0.0,0,0,1,0,0
2,"0927.333.554
",13,0.8333333333333334,0,0.0,0.0,0,0,1,0,0
2,"04.3627 6669
",13,0.9090909090909091,0,0.0,0.0,0,0,1,0,1
2,"04.3633.3468
",13,0.8333333333333334,0,0.0,0.0,0,0,1,0,0
2,"0917.186.669
",13,0.8333333333333334,0,0.0,0.0,0,0,1,0,0
2,"04- 37 | 5 409
",15,0.8,0,0.0,0.0,0,0,1,0,4
2,"04. 37 | 5 4092
",16,0.8181818181818182,0,0.0,0.0,0,0,1,0,4
2,"04.o.27&o3o8
",13,0.5,0,0.0,0.0,0,0,1,0,0
2,"04. 37 || 5 4093
",17,0.75,0,0.0,0.0,0,0,1,0,4
2,"+84-4, 3787 1872
",17,0.7857142857142857,0,0.0,0.0,0,0,0,1,2
2,"04.62.920.338
",14,0.7692307692307693,0,0.0,0.0,0,0,1,0,0
2,"0211371 6768
",13,1.0,0,0.0,0.0,0,0,1,0,1
2,"04. 2243 1334
",14,0.9090909090909091,0,0.0,0.0,0,0,1,0,2
2,"04.3767.5988
",13,0.8333333333333334,0,0.0,0.0,0,0,1,0,0
2,"0988992518
",11,1.0,0,0.0,0.0,0,0,1,0,0
2,"01688883627
",12,1.0,0,0.0,0.0,0,0,1,0,0
2,"0907000350
",11,1.0,0,0.0,0.0,0,0,1,0,0
2,"0989420655
",11,1.0,0,0.0,0.0,0,0,1,0,0
2,"01699118349
",12,1.0,0,0.0,0.0,0,0,1,0,0
2,"01689525898
",12,1.0,0,0.0,0.0,0,0,1,0,0
2,"0907467077
",11,1.0,0,0.0,0.0,0,0,1,0,0
2,"01235099415
",12,1.0,0,0.0,0.0,0,0,1,0,0
2,"0906919522
",11,1.0,0,0.0,0.0,0,0,1,0,0
2,"01214907840
",12,1.0,0,0.0,0.0,0,0,1,0,0
2,"0939945565
",11,1.0,0,0.0,0.0,0,0,1,0,0
2,"0939166160
",11,1.0,0,0.0,0.0,0,0,1,0,0
2,"0914409356
",11,1.0,0,0.0,0.0,0,0,1,0,0
2,"0979748494
",11,1.0,0,0.0,0.0,0,0,1,0,0
2,"0913199757
",11,1.0,0,0.0,0.0,0,0,1,0,0
2,"0918122588
",11,1.0,0,0.0,0.0,0,0,1,0,0
2,"0918660420
",11,1.0,0,0.0,0.0,0,0,1,0,0
2,"0963939994
",11,1.0,0,0.0,0.0,0,0,1,0,0
2,"01295779916
",12,1.0,0,0.0,0.0,0,0,1,0,0
2,"01693535884
",12,1.0,0,0.0,0.0,0,0,1,0,0
2,"0919444383
",11,1.0,0,0.0,0.0,0,0,1,0,0
2,"01697277498
",12,1.0,0,0.0,0.0,0,0,1,0,0
2,"0986716397
",11,1.0,0,0.0,0.0,0,0,1,0,0
2,"0837271516
",11,1.0,0,0.0,0.0,0,0,1,0,0
2,"0913133894
",11,1.0,0,0.0,0.0,0,0,1,0,0
2,"01677303904
",12,1.0,0,0.0,0.0,0,0,1,0,0
2,"0916438487
",11,1.0,0,0.0,0.0,0,0,1,0,0
2,"0907094345
",11,1.0,0,0.0,0.0,0,0,1,0,0
2,"0925048498
",11,1.0,0,0.0,0.0,0,0,1,0,0
2,"0917326426
",11,1.0,0,0.0,0.0,0,0,1,0,0
2,"01633871544
",12,1.0,0,0.0,0.0,0,0,1,0,0
2,"01656364757
",12,1.0,0,0.0,0.0,0,0,1,0,0
2,"0903918485
",11,1.0,0,0.0,0.0,0,0,1,0,0
2,"0939849458
",11,1.0,0,0.0,0.0,0,0,1,0,0
2,"01656364757
",12,1.0,0,0.0,0.0,0,0,1,0,0
2,"0918035895
",11,1.0,0,0.0,0.0,0,0,1,0,0
2,"01257542074
",12,1.0,0,0.0,0.0,0,0,1,0,0
2,"0942600799
",11,1.0,0,0.0,0.0,0,0,1,0,0
2,"0948881449
",11,1.0,0,0.0,0.0,0,0,1,0,0
2,"06503820328
",12,1.0,0,0.0,0.0,0,0,1,0,0
2,"01217221021
",12,1.0,0,0.0,0.0,0,0,1,0,0
2,"0933029135
",11,1.0,0,0.0,0.0,0,0,1,0,0
2,"0973753259
",11,1.0,0,0.0,0.0,0,0,1,0,0
2,"0935611126
",11,1.0,0,0.0,0.0,0,0,1,0,0
2,"01223444945
",12,1.0,0,0.0,0.0,0,0,1,0,0
2,"01265558169
",12,1.0,0,0.0,0.0,0,0,1,0,0
2,"0973152724
",11,1.0,0,0.0,0.0,0,0,1,0,0
2,"0912029889
",11,1.0,0,0.0,0.0,0,0,1,0,0
2,"01682562472
",12,1.0,0,0.0,0.0,0,0,1,0,0
2,"0982594154
",11,1.0,0,0.0,0.0,0,0,1,0,0
2,"0977446455
",11,1.0,0,0.0,0.0,0,0,1,0,0
2,"0939079699
",11,1.0,0,0.0,0.0,0,0,1,0,0
2,"0937711864
",11,1.0,0,0.0,0.0,0,0,1,0,0
2,"0938476592
",11,1.0,0,0.0,0.0,0,0,1,0,0
2,"0945213369
",11,1.0,0,0.0,0.0,0,0,1,0,0
2,"0913647340
",11,1.0,0,0.0,0.0,0,0,1,0,0
2,"0907324829
",11,1.0,0,0.0,0.0,0,0,1,0,0
2,"0919883336
",11,1.0,0,0.0,0.0,0,0,1,0,0
2,"08. 6264 5449
",14,0.9090909090909091,0,0.0,0.0,0,0,1,0,2
2,"1900 6878 
",11,1.0,0,0.0,0.0,0,0,1,0,2
2,"(08) 38 335 896
",16,0.8333333333333334,0,0.0,0.0,0,0,0,1,3
2,"(84-24) б6755516
",17,0.7857142857142857,0,0.0,0.0,0,0,0,1,1
2,"03737.99999
",12,0.9090909090909091,0,0.0,0.0,0,0,1,0,0
2,"952.851.0911
",13,0.8333333333333334,0,0.0,0.0,0,0,1,0,0
